#,Set,Set,Name,Team,Pts,Year,OB/C,Sp/IP,Pos,Pos1,Pos2,Arm,Icon,PU,SO,GB,FB,BB,1B,1B+,2B,3B,HR
25,PR,PR,Dan Kolb,Brewers,290,2004,6,1,Closer,Closer,,R,,3-Jan,9-Apr,15-Oct,16-17,-,18-24,-,25-26,-,27+
26,PR,PR,Marco Scutaro,Athletics,200,2004,10,13,2B+3 SS+3,2B+3 ,SS+3,R,R,-,1-,4-Feb,6-May,Jul-00,17-Aug,-,18-20,-,21+
27,PR,PR,Gary Sheffield,Yankees,260,2004,12,10,LF-RF+1,LF-RF+1,,R,,-,1-,4-Feb,6-May,12-Jul,13-18,-,19-,-,20+
28,PR,PR,Eric Gagne,Dodgers,330,2004,6,1,Closer,Closer,,R,,2-Jan,9-Mar,14-Oct,15-17,18-,19-20,-,21-22,-,23+
29,PR,PR,Kazuhisha Ishii,Dodgers,400,2004,4,7,Starter,Starter,,L,,4-Jan,6-May,12-Jul,13-16,17-,18-19,-,20-23,-,24+
30,PR,PR,B.J. Ryan,Orioles,240,2004,5,1,Reliever,Reliever,,L,,2-Jan,9-Mar,14-Oct,15-16,17-18,19-23,-,24-27,-,28+
31,PR,PR,Mark Mulder,Athletics,450,2004,5,7,Starter,Starter,,L,,1-,6-Feb,13-Jul,14-16,17-,18-19,-,20-25,-,26+
32,PR,PR,Gerald Laird,Rangers,260,2004,13,8,C+10,C+10,,R,R,-,2-Jan,5-Mar,7-Jun,10-Aug,18-Nov,-,19-20,-,21+
33,PR,PR,Joe Mauer,Twins,260,2004,11,11,C+7,C+7,,L,R,-,Jan-00,4-Feb,7-May,11-Aug,16-Dec,-,17-19,-,20+
34,PR,PR,Nate Robertson,Tigers,10,2004,1,5,Starter,Starter,,L,R,1-,7-Feb,13-Aug,14-15,16-17,18-19,-,20-23,-,24+
35,PR,PR,Hideki Matsui,Yankees,280,2004,13,8,LF-RF+0,LF-RF+0,,L,,-,2-Jan,5-Mar,7-Jun,12-Aug,13-17,-,18-19,-,20+
36,PR,PR,Ray Lankford,Cardinals,280,2004,12,8,OF+2,OF+2,,L,,-,3-Jan,5-Apr,7-Jun,12-Aug,13-16,-,17-19,-,20+
37,PR,PR,Jake Peavy,Padres,540,2004,4,7,Starter,Starter,,R,,1-,6-Feb,13-Jul,14-18,19-,20-23,-,24-27,-,28+
38,PR,PR,Esteban Loaiza,White Sox,300,2004,4,7,Starter,Starter,,R,,5-Jan,8-Jun,14-Sep,15-16,17-,18-20,-,21-,-,22+
39,PR,PR,Mike Stanton,Mets,300,2004,5,1,Reliever,Reliever,,L,,3-Jan,6-Apr,13-Jul,14-17,18-,19-23,-,24-27,-,28+
40,PR,PR,Kevin Gregg,Angels,320,2004,5,2,Reliever,Reliever,,R,R,2-Jan,7-Mar,12-Aug,13-16,17-,18-19,-,20-27,-,28+
41,PR,PR,Steve Trachsel,Mets,320,2004,4,6,Starter,Starter,,R,,1-,4-Feb,11-May,16-Dec,17-,18-19,-,20-23,-,24+
42,PR,PR,Albert Pujols,Cardinals,590,2004,13,11,1B+1,1B+1,,R,,-,Jan-00,4-Feb,5-,12-Jun,13-16,-,17-,-,18+
43,PR,PR,Shingo Takatsu,White Sox,340,2004,5,1,Reliever,Reliever,,R,R,2-Jan,8-Mar,11-Sep,18-Dec,-,19-21,-,22-23,-,24+
44,PR,PR,Ichiro ,Mariners,380,2004,12,19,LF-RF+2,LF-RF+2,,L,,-,1-,5-Feb,6-,9-Jul,14-Oct,15-17,18-,19-,20+
45,PR,PR,Milton Bradley,Dodgers,360,2004,10,15,CF+1,CF+1,,S,,-,1-,3-Feb,5-Apr,10-Jun,15-Nov,-,16-18,-,19+
46,PR,PR,Eric Chavez,Athletics,360,2004,10,13,LF-RF+2,LF-RF+2,,L,,-,1-,3-Feb,5-Apr,11-Jun,16-Dec,-,17-,-,18+
47,PR,PR,Paul Lo Duca,Dodgers,360,2004,13,10,C+6 LF-RF+0,C+6 ,LF-RF+0,R,,-,-,3-Jan,6-Apr,9-Jul,18-Oct,-,19-20,-,21+
48,PR,PR,Kip Wells,Pirates,360,2004,3,6,Starter,Starter,,R,,2-Jan,7-Mar,13-Aug,14-17,18-,19-23,-,24-26,-,27+
49,PR,PR,Miguel Cabrera,Marlins,390,2004,10,13,LF-RF+0,LF-RF+0,,R,,-,2-Jan,3-,5-Apr,10-Jun,16-Nov,-,17-,-,18+
50,PR,PR,Johnny Estrada,Braves,390,2004,12,11,C+6,C+6,,S,,-,1-,4-Feb,7-May,10-Aug,16-Nov,-,17-19,-,20+
51,PR,PR,Pedro Martinez,Red Sox,440,2004,5,6,Starter,Starter,,R,,3-Jan,8-Apr,13-Sep,14-17,-,18-20,-,21-23,-,24+
52,PR,PR,Jason Giambi,Yankees,510,2004,14,8,1B+0,1B+0,,L,,-,1-,4-Feb,6-May,13-Jul,14-17,-,18-,-,19+
53,PR,PR,Kenny Rogers,Rangers,450,2004,4,7,Starter,Starter,,L,,2-Jan,5-Mar,11-Jun,17-Dec,18-,19-20,-,21-24,-,25+
54,PR,PR,Alex Rodriguez,Yankees,540,2004,13,14,3B+3,3B+3,,R,,-,1-,3-Feb,5-Apr,10-Jun,16-Nov,-,17-18,-,19+
55,PR,PR,Chone Figgins,Angels,440,2004,13,22,CF+1 SS+3,CF+1 ,SS+3,S,,-,2-Jan,4-Mar,7-May,11-Aug,15-Dec,16-17,18-,19-20,21+
56,PR,PR,Ken Harvey,Royals,440,2004,13,12,1B+1 2B+2,1B+1 ,2B+2,R,R,-,1-,4-Feb,6-May,9-Jul,18-Oct,-,19-,-,20+
57,PR,PR,Todd Helton,Rockies,540,2004,14,11,1B+1,1B+1,,L,,-,1-,3-Feb,6-Apr,12-Jul,13-17,-,18-19,-,20+
58,PR,PR,Javy Lopez,Orioles,450,2004,13,9,C+7,C+7,,R,,-,1-,4-Feb,7-May,10-Aug,17-Nov,-,18-19,-,20+
59,PR,PR,R.A. Dickey,Rangers,470,2004,3,7,Starter,Starter,,R,,3-Jan,6-Apr,14-Jul,15-16,17-18,19-20,-,21-22,-,23+
60,PR,PR,J.D. Drew,Braves,480,2004,13,16,LF-RF+2,LF-RF+2,,L,,-,2-Jan,4-Mar,6-May,12-Jul,13-16,-,17-18,19-,20+
61,PR,PR,Melvin Mora,Orioles,540,2004,14,13,3B+1,3B+1,,R,,-,2-Jan,5-Mar,7-Jun,10-Aug,17-Nov,-,18-19,-,20+
62,PR,PR,Danny Bautista,Diamondbacks,510,2004,13,16,OF+0,OF+0,,R,,-,1-,5-Feb,7-Jun,9-Aug,18-Oct,-,19-21,-,22+
63,PR,PR,Kerry Wood,Cubs,490,2004,5,7,Starter,Starter,,R,,1-,8-Feb,13-Sep,14-16,17-,18-19,-,20-25,-,26+
64,PR,PR,Randy Johnson,Diamondbacks,530,2004,5,7,Starter,Starter,,L,,1-,8-Feb,14-Sep,15-17,18-,19-,-,20-25,-,26+
65,PR,PR,Scott Rolen,Cardinals,560,2004,12,11,3B+3,3B+3,,R,,-,2-Jan,4-Mar,7-May,10-Aug,16-Nov,-,17-,-,18+
66,PR,PR,Roger Clemens,Astros,500,2004,5,7,Starter,Starter,,R,,1-,7-Feb,13-Aug,14-17,18-,19-22,-,23-24,-,25+
67,PR,PR,Brad Penny,Marlins,480,2004,5,7,Starter,Starter,,R,,1-,6-Feb,13-Jul,14-17,18-,19-21,-,22-,-,23+
68,PR,PR,Matt Clement,Cubs,570,2004,5,6,Starter,Starter,,R,,-,6-Jan,14-Jul,15-17,18-,19-,-,20-26,-,27+
69,PR,PR,Ronnie Belliard,Indians,490,2004,13,16,2B+3,2B+3,,R,,-,1-,4-Feb,5-,9-Jun,16-Oct,-,17-20,-,21+
70,PR,PR,Alfonso Soriano,Rangers,590,2004,12,20,2B+3,2B+3,,R,,-,1-,3-Feb,5-Apr,7-Jun,13-Aug,14-16,17-,18-19,20+
71,PR,PR,Lew Ford,Twins,350,2004,12,15,LF-RF+1,LF-RF+1,,R,R,-,1-,4-Feb,6-May,9-Jul,15-Oct,16-,17-18,19-,20+
72,PR,PR,Sean Casey,Reds,490,2004,13,13,1B+1,1B+1,,L,,-,1-,5-Feb,7-Jun,9-Aug,16-Oct,-,17-19,-,20+
73,PR,PR,Troy Glaus,Angels,510,2004,10,11,3B+1,3B+1,,R,,-,2-Jan,4-Mar,6-May,10-Jul,13-Nov,-,14-16,-,17+
74,PR,PR,Mike Lowell,Marlins,610,2004,13,16,3B+3,3B+3,,R,,-,1-,3-Feb,6-Apr,10-Jul,16-Nov,-,17-18,-,19+
75,PR,PR,Juan Uribe,White Sox,480,2004,12,16,SS+4,SS+4,,R,,-,2-Jan,4-Mar,6-May,8-Jul,16-Sep,-,17-18,-,19+
76,PR,PR,Adrian Beltre,Dodgers,540,2004,13,13,3B+3,3B+3,,R,,-,1-,4-Feb,7-May,8-,16-Sep,-,17-18,-,19+
77,PR,PR,Jack Wilson,Pirates,600,2004,13,16,SS+2 2B+2,SS+2 ,2B+2,R,,-,1-,3-Feb,6-Apr,7-,13-Aug,14-16,17-,18-19,20+
78,PR,PR,Craig Wilson,Pirates,690,2004,14,10,1B+1 LF-RF+0,1B+1 ,LF-RF+0,R,,-,2-Jan,5-Mar,6-,9-Jul,14-Oct,-,15-18,-,19+
79,PR,PR,Lyle Overbay,Brewers,400,2004,12,11,1B+1,1B+1,,L,,-,1-,4-Feb,6-May,8-Jul,14-Sep,-,15-18,-,19+
80,PR,PR,Jose Contreras,Yankees,90,2004,1,6,Starter,Starter,,R,,4-Jan,11-May,15-Dec,16-18,19-,20-,-,21-,-,22+
81,PR,PR,Jason Jennings,Rockies,10,2004,1,5,Starter,Starter,,R,,2-Jan,4-Mar,11-May,14-Dec,15-16,17-18,-,19-21,-,22+
82,PR,PR,Matt Mantei,Diamondbacks,10,2004,1,1,Reliever,Reliever,,R,,3-Jan,10-Apr,12-Nov,13-14,15-16,17-18,-,19-,-,20+
83,PR,PR,Luis Vizcaino,Brewers,10,2004,1,1,Reliever,Reliever,,R,,3-Jan,8-Apr,12-Sep,13-14,15-16,17-18,-,19-22,-,23+
84,PR,PR,Luis Ayala,Expos,40,2004,2,1,Reliever,Reliever,,R,,2-Jan,5-Mar,14-Jun,15-16,17-,18-19,-,20-26,-,27+
85,PR,PR,Danny Patterson,Tigers,80,2004,3,1,Reliever,Reliever,,R,,3-Jan,6-Apr,15-Jul,16-,17-,18-19,-,20-23,-,24+
86,PR,PR,C.J. Nitkowski,Braves,90,2004,1,1,Reliever,Reliever,,L,,1-,6-Feb,14-Jul,15-17,18-19,20-22,-,23-24,-,25+
87,PR,PR,Larry Bigbie,Orioles,100,2004,9,16,LF-RF+0,LF-RF+0,,L,,-,2-Jan,5-Mar,7-Jun,11-Aug,17-Dec,-,18-,-,19+
88,PR,PR,Mike Lieberthal,Phillies,120,2004,9,8,C+7,C+7,,R,,-,1-,4-Feb,7-May,11-Aug,16-Dec,-,17-18,-,19+
89,PR,PR,Mike Timlin,Red Sox,120,2004,3,1,Reliever,Reliever,,R,,2-Jan,8-Mar,14-Sep,15-16,17-,18-19,-,20-27,-,28+
90,PR,PR,Rob Mackowiak,Pirates,130,2004,9,13,LF-RF+0,LF-RF+0,,L,,-,1-,3-Feb,5-Apr,11-Jun,17-Dec,-,18-,-,19+
91,PR,PR,Kevin Cash,Blue Jays,150,2004,9,8,C+9,C+9,,R,R,-,2-Jan,5-Mar,7-Jun,9-Aug,15-Oct,-,16-19,-,20+
92,PR,PR,Danys Baez,Devil Rays,260,2004,5,1,Reliever,Reliever,,R,,1-,6-Feb,12-Jul,13-17,18-19,20-23,-,24-27,-,28+
93,PR,PR,J. C. Romero,Twins,140,2004,1,1,Reliever,Reliever,,L,,3-Jan,-,16-Apr,17-20,-,21-23,-,24-27,-,28+
94,PR,PR,Dan Miceli,Astros,290,2004,4,1,Reliever,Reliever,,R,,1-,7-Feb,13-Aug,14-16,17-,18-23,-,24-26,-,27+
95,PR,PR,Armando Benitez,Marlins,320,2004,5,1,Closer,Closer,,R,,1-,9-Feb,15-Oct,16-17,18-19,20-22,-,23-24,-,25+
96,PR,PR,Hank Blalock,Rangers,540,2004,12,10,3B+0,3B+0,,L,,-,2-Jan,4-Mar,6-May,9-Jul,16-Oct,-,17-18,-,19+
97,PR,PR,Vinny Castilla,Rockies,520,2004,12,8,3B+3,3B+3,,R,,-,2-Jan,5-Mar,7-Jun,10-Aug,14-Nov,-,15-18,-,19+
98,PR,PR,Danny Graves,Reds,240,2004,5,1,Closer,Closer,,R,,2-Jan,7-Mar,12-Aug,13-17,18-,19-22,-,23-26,-,27+
99,PR,PR,Derek Jeter,Yankees,300,2004,11,15,SS+2,SS+2,,R,,-,4-Jan,6-May,7-,13-Aug,14-15,16-,17-19,-,20+
100,PR,PR,Jim Thome,Phillies,440,2004,13,11,1B+1,1B+1,,L,,-,4-Jan,5-,6-,13-Jul,14-15,-,16-17,-,18+
101,PR,PR,Mark Loretta,Padres,310,2004,11,11,2B+3,2B+3,,R,,-,1-,4-Feb,6-May,9-Jul,16-Oct,-,17-19,-,20+
102,PR,PR,Victor Martinez,Indians,340,2004,11,15,C+8,C+8,,S,,-,2-Jan,4-Mar,6-May,10-Jul,15-Nov,-,16-18,-,19+
103,PR,PR,Ken Griffey Jr.,Reds,360,2004,11,12,CF+1,CF+1,,L,,-,2-Jan,3-,6-Apr,10-Jul,15-Nov,-,16-17,-,18+
104,PR,PR,Miguel Tejada,Orioles,380,2004,11,14,SS+3,SS+3,,R,,-,1-,3-Feb,5-Apr,10-Jun,14-Nov,15-,16-18,-,19+
105,PR,PR,Mike Piazza,Mets,400,2004,12,9,C+6,C+6,,R,,-,3-Jan,5-Apr,7-Jun,12-Aug,13-15,-,16-17,-,18+
106,PR,PR,Ivan Rodriguez,Tigers,420,2004,13,11,C+6,C+6,,R,,-,2-Jan,5-Mar,6-,9-Jul,17-Oct,-,18-19,-,20+
107,PR,PR,Tom Glavine,Mets,430,2004,5,6,Starter,Starter,,L,,2-Jan,6-Mar,13-Jul,14-16,17-,18-19,-,20-24,-,25+
108,PR,PR,Carl Crawford,Devil Rays,470,2004,11,22,LF-RF+2,LF-RF+2,,L,,-,1-,4-Feb,6-May,9-Jul,13-Oct,14-15,16-17,18-19,20+
109,PR,PR,Jeff Kent,Astros,470,2004,11,11,2B+4,2B+4,,R,,-,1-,4-Feb,6-May,8-Jul,15-Sep,-,16-19,-,20+
110,PR,PR,Ben Sheets,Brewers,480,2004,5,7,Starter,Starter,,R,,2-Jan,6-Mar,13-Jul,14-16,17-,18-20,-,21-23,-,24+
111,PR,PR,Sammy Sosa,Cubs,480,2004,11,11,LF-RF+1,LF-RF+1,,R,,-,3-Jan,4-,5-,11-Jun,16-Dec,-,17-,-,18+
112,PR,PR,Vladimir Guerrero,Angels,540,2004,13,14,LF-RF+1,LF-RF+1,,R,,-,2-Jan,4-Mar,6-May,10-Jul,16-Nov,-,17-18,-,19+
113,PR,PR,Curt Schilling,Red Sox,550,2004,5,7,Starter,Starter,,R,,1-,7-Feb,12-Aug,13-17,18-,19-,-,20-22,-,23+
114,PR,PR,Carl Pavano,Devil Rays,560,2004,5,7,Starter,Starter,,R,,3-Jan,7-Apr,13-Aug,14-17,-,18-19,-,20-25,-,26+
115,PR,PR,Manny Ramirez,Red Sox,610,2004,14,11,LF-RF+0,LF-RF+0,,R,,-,2-Jan,3-,6-Apr,12-Jul,13-16,-,17-18,-,19+
1,TD,TD,Jose Mesa,Pirates,10,2004,1,1,Closer,Closer,,R,,3-Jan,8-Apr,14-Sep,15-16,17-,18-19,-,20-25,-,26+
2,TD,TD,Pokey Reese,Red Sox,10,2004,9,14,2B+5,2B+5,,R,,-,3-Jan,5-Apr,8-Jun,12-Sep,13-19,-,20-,-,21+
3,TD,TD,Rey Sanchez,Devil Rays,10,2004,9,16,SS+3,SS+3,,R,,-,1-,5-Feb,7-Jun,9-Aug,19-Oct,-,20-,-,21+
4,TD,TD,Jeff Weaver,Dodgers,10,2004,1,5,Starter,Starter,,R,,2-Jan,5-Mar,14-Jun,15-,16-,17-19,-,20-26,-,27+
5,TD,TD,Todd Zeile,Mets,10,2004,9,9,3B+2,3B+2,,R,,-,2-Jan,5-Mar,7-Jun,12-Aug,13-18,-,19-,-,20+
6,TD,TD,Carlos Rivera,Pirates,20,2004,9,13,1B+0,1B+0,,L,R,-,2-Jan,5-Mar,7-Jun,11-Aug,17-Dec,-,18-19,-,20+
7,TD,TD,Orlando Palmeiro,Astros,40,2004,9,10,OF+2,OF+2,,L,,-,1-,4-Feb,6-May,9-Jul,18-Oct,-,19-20,-,21+
8,TD,TD,Roberto Alomar,Diamondbacks,60,2004,9,13,2B+2,2B+2,,S,,-,1-,3-Feb,5-Apr,10-Jun,17-Nov,18-,19-20,-,21+
9,TD,TD,Doug Glanville,Phillies,70,2004,9,15,CF+1,CF+1,,R,,-,1-,4-Feb,7-May,8-,18-Sep,-,19-,-,20+
10,TD,TD,Khalil Greene,Padres,80,2004,9,13,SS+2,SS+2,,R,R,-,3-Jan,6-Apr,8-Jul,11-Sep,15-Dec,-,16-18,19-,20+
11,TD,TD,Victor Martinez,Indians,80,2004,10,14,C+7,C+7,,S,R,-,1-,4-Feb,6-May,9-Jul,19-Oct,-,20-,-,21+
12,TD,TD,Jeffrey Hammonds,Giants,90,2004,9,9,OF+1,OF+1,,R,,-,2-Jan,4-Mar,6-May,10-Jul,14-Nov,-,15-18,-,19+
13,TD,TD,Bobby Kielty,Athletics,90,2004,10,12,LF-RF+0,LF-RF+0,,S,,-,2-Jan,4-Mar,6-May,12-Jul,13-17,-,18-19,-,20+
14,TD,TD,Brian Schneider,Expos,90,2004,9,10,C+11,C+11,,L,,-,2-Jan,5-Mar,7-Jun,11-Aug,16-Dec,-,17-19,-,20+
15,TD,TD,Arthur Rhodes,Athletics,100,2004,3,1,Reliever,Reliever,,L,,3-Jan,8-Apr,14-Sep,15-16,17-18,19-,-,20-23,-,24+
16,TD,TD,David Dellucci,Rangers,120,2004,9,13,LF-RF+1,LF-RF+1,,L,,-,2-Jan,4-Mar,6-May,10-Jul,15-Nov,16-,17-18,19-,20+
17,TD,TD,Eric Young,Rangers,120,2004,9,19,2B+2,2B+2,,R,,-,1-,4-Feb,6-May,11-Jul,15-Dec,16-17,18-19,-,20+
18,TD,TD,Grant Balfour,Twins,130,2004,3,2,Reliever,Reliever,,R,R,2-Jan,8-Mar,13-Sep,14-16,17-18,19-20,-,21-22,-,23+
19,TD,TD,Javier Lopez,Rockies,130,2004,4,1,Reliever,Reliever,,L,,2-Jan,6-Mar,10-Jul,16-Nov,17-,18-19,-,20-24,-,25+
20,TD,TD,Jeff Nelson,Rangers,130,2004,3,1,Reliever,Reliever,,R,,3-Jan,10-Apr,15-Nov,16-17,18-,19-22,-,23-25,-,26+
21,TD,TD,Kelvim Escobar,Angels,140,2004,2,5,Starter,Starter,,R,,Jan-00,6-Feb,13-Jul,14-16,17-,18-19,-,20-23,-,24+
22,TD,TD,Braden Looper,Mets,140,2004,3,1,Closer,Closer,,R,,3-Jan,7-Apr,14-Aug,15-16,17-,18-23,-,24-26,-,27+
23,TD,TD,Tino Martinez,Devil Rays,140,2004,10,10,1B+0,1B+0,,L,,-,1-,4-Feb,6-May,10-Jul,17-Nov,-,18-19,-,20+
24,TD,TD,Laynce Nix,Rangers,140,2004,9,10,OF+1,OF+1,,L,,-,2-Jan,5-Mar,7-Jun,9-Aug,16-Oct,-,17-18,-,19+
25,TD,TD,Horacio Ramirez,Braves,140,2004,2,6,Starter,Starter,,L,R,1-,4-Feb,10-May,16-Nov,17-,18-19,-,20-23,-,24+
26,TD,TD,Hideki Matsui,Yankees,150,2004,10,9,LF-RF+1,LF-RF+1,,L,,-,1-,4-Feb,6-May,10-Jul,17-Nov,-,18-19,-,20+
27,TD,TD,Kevin Mench,Rangers,220,2004,10,10,LF-RF+0,LF-RF+0,,R,,-,1-,4-Feb,6-May,9-Jul,16-Oct,-,17-19,-,20+
28,TD,TD,Scott Sullivan,Royals,150,2004,3,1,Reliever,Reliever,,R,,2-Jan,7-Mar,14-Aug,15-16,17-18,19-22,-,23-24,-,25+
29,TD,TD,Michael Barrett,Cubs,160,2004,9,10,C+8,C+8,,R,,-,1-,4-Feb,6-May,10-Jul,16-Nov,-,17-18,-,19+
30,TD,TD,Jose Cruz,Devil Rays,200,2004,11,14,LF-RF+2,LF-RF+2,,R,G,-,2-Jan,4-Mar,6-May,12-Jul,13-17,-,18-19,-,20+
31,TD,TD,Robert Fick,Devil Rays,160,2004,9,11,LF-RF+1,LF-RF+1,,L,,-,1-,3-Feb,5-Apr,9-Jun,16-Oct,-,17-19,-,20+
32,TD,TD,Brad Fullmer,Rangers,160,2004,11,11,1B+0,1B+0,,L,,-,1-,3-Feb,6-Apr,10-Jul,17-Nov,-,18-,-,19+
33,TD,TD,Eric Karros,Athletics,160,2004,10,12,1B+0,1B+0,,R,,-,1-,4-Feb,6-May,10-Jul,17-Nov,-,18-19,-,20+
34,TD,TD,Mark Kotsay,Athletics,160,2004,10,11,CF+2,CF+2,,L,,-,1-,4-Feb,6-May,10-Jul,17-Nov,-,18-19,-,20+
35,TD,TD,Fernando Vina,Tigers,160,2004,9,10,2B+3,2B+3,,L,,-,1-,4-Feb,7-May,8-,16-Sep,-,17-18,19-,20+
36,TD,TD,Tim Worrell,Phillies,160,2004,4,1,Reliever,Reliever,,R,,1-,5-Feb,13-Jun,14-15,16-17,18-19,-,20-25,-,26+
37,TD,TD,Mike Cameron,Mets,170,2004,10,15,CF+3,CF+3,,R,G,-,2-Jan,4-Mar,6-May,11-Jul,15-Dec,16-17,18-19,-,20+
38,TD,TD,Howie Clark,Blue Jays,170,2004,11,10,IF+1,IF+1,,L,R,-,1-,5-Feb,8-Jun,9-,19-Oct,-,20-,-,21+
39,TD,TD,Tom Gordon,Yankees,170,2004,4,1,Reliever,Reliever,,R,,1-,8-Feb,14-Sep,15-16,17-,18-19,-,20-24,-,25+
40,TD,TD,Adam Kennedy,Angels,170,2004,10,17,2B+2,2B+2,,L,,-,1-,3-Feb,6-Apr,10-Jul,17-Nov,18-,19-,-,20+
41,TD,TD,Rafael Palmeiro,Orioles,180,2004,10,9,1B+1,1B+1,,L,,-,1-,3-Feb,6-Apr,12-Jul,13-17,-,18-,-,19+
42,TD,TD,Reed Johnson,Blue Jays,190,2004,10,11,OF+0,OF+0,,R,,-,1-,4-Feb,6-May,8-Jul,17-Sep,-,18-19,-,20+
43,TD,TD,Aquilino Lopez,Blue Jays,190,2004,4,1,Reliever,Reliever,,R,R,2-Jan,7-Mar,11-Aug,16-Dec,17-18,19-21,-,22-23,-,24+
44,TD,TD,Julian Tavarez,Cardinals,190,2004,4,1,Reliever,Reliever,,R,,5-Jan,8-Jun,14-Sep,15-16,17-,18-22,-,23-25,-,26+
45,TD,TD,Ben Broussard,Indians,200,2004,9,13,1B+1,1B+1,,L,,-,2-Jan,4-Mar,6-May,9-Jul,15-Oct,-,16-18,-,19+
46,TD,TD,Miguel Cabrera,Marlins,240,2004,10,14,LF-RF+1 3B+1,LF-RF+1 ,3B+1,R,,-,2-Jan,4-Mar,6-May,9-Jul,15-Oct,-,16-18,-,19+
47,TD,TD,Raul Ibanez,Mariners,200,2004,10,12,LF-RF+1,LF-RF+1,,L,,-,1-,4-Feb,6-May,9-Jul,17-Oct,-,18-19,-,20+
48,TD,TD,Randall Simon,Pirates,200,2004,9,10,1B+1,1B+1,,L,,-,-,4-Jan,6-May,8-Jul,16-Sep,-,17-18,-,19+
49,TD,TD,Ronnie Belliard,Indians,210,2004,10,14,2B+4 3B+1,2B+4 ,3B+1,R,,-,1-,4-Feb,6-May,10-Jul,17-Nov,-,18-19,-,20+
50,TD,TD,Scott Spiezio,Mariners,210,2004,9,11,1B+0 3B+1,1B+0 ,3B+1,S,,-,1-,3-Feb,5-Apr,9-Jun,15-Oct,-,16-18,19-,20+
51,TD,TD,Ellis Burks,Red Sox,220,2004,10,9,DH,DH,,R,,-,2-Jan,4-Mar,5-,10-Jun,16-Nov,-,17-19,-,20+
52,TD,TD,LaTroy Hawkins,Cubs,220,2004,5,1,Reliever,Reliever,,R,,4-Jan,9-May,14-Oct,15-16,17-,18-22,-,23-25,-,26+
53,TD,TD,Pat Hentgen,Blue Jays,220,2004,3,6,Starter,Starter,,R,,3-Jan,6-Apr,13-Jul,14-16,17-18,19-,-,20-24,-,25+
54,TD,TD,Eddie Guardado,Mariners,240,2004,6,1,Closer,Closer,,L,,2-Jan,8-Mar,14-Sep,15-17,18-,19-,-,20-23,-,24+
55,TD,TD,Todd Walker,Cubs,220,2004,9,11,2B+2,2B+2,,L,,-,1-,3-Feb,5-Apr,8-Jun,16-Sep,-,17-19,-,20+
56,TD,TD,Ivan Rodriguez,Tigers,230,2004,11,12,C+7,C+7,,R,,-,2-Jan,5-Mar,7-Jun,11-Aug,16-Dec,17-,18-19,-,20+
57,TD,TD,Raul Mondesi,Pirates,240,2004,10,20,LF-RF+1,LF-RF+1,,R,,-,2-Jan,4-Mar,7-May,10-Aug,15-Nov,16-,17-18,-,19+
58,TD,TD,Jeromy Burnitz,Rockies,250,2004,9,11,LF-RF+0,LF-RF+0,,L,,-,2-Jan,4-Mar,6-May,9-Jul,15-Oct,-,16-17,-,18+
59,TD,TD,Rich Aurilia,Mariners,260,2004,9,9,SS+2,SS+2,,R,,-,1-,3-Feb,5-Apr,8-Jun,16-Sep,-,17-18,-,19+
60,TD,TD,Keith Foulke,Red Sox,260,2004,6,1,Closer,Closer,,R,,2-Jan,7-Mar,11-Aug,17-Dec,18-,19-,-,20-23,-,24+
61,TD,TD,Ramon Hernandez,Padres,280,2004,9,10,C+7,C+7,,R,,-,1-,3-Feb,5-Apr,8-Jun,16-Sep,-,17-18,-,19+
62,TD,TD,Kenny Lofton,Yankees,280,2004,10,22,CF+1,CF+1,,L,,-,1-,4-Feb,6-May,9-Jul,14-Oct,15-16,17-18,19-,20+
63,TD,TD,Rafael Soriano,Mariners,240,2004,5,1,Reliever,Reliever,,R,R,2-Jan,9-Mar,13-Oct,14-17,18-,19-21,-,22-23,-,24+
64,TD,TD,Jody Gerut,Indians,290,2004,10,14,LF-RF+1,LF-RF+1,,L,,-,1-,3-Feb,5-Apr,8-Jun,15-Sep,-,16-18,-,19+
65,TD,TD,Randy Johnson,Diamondbacks,320,2004,4,6,Starter,Starter,,L,,3-Jan,9-Apr,14-Oct,15-16,17-,18-20,-,21-,-,22+
66,TD,TD,John Burkett,Red Sox,310,2004,3,6,Starter,Starter,,R,,2-Jan,5-Mar,13-Jun,14-17,18-,19-23,-,24-26,-,27+
67,TD,TD,Brian Giles,Padres,310,2004,13,10,LF-RF+1,LF-RF+1,,L,,-,1-,3-Feb,6-Apr,12-Jul,13-17,-,18-19,-,20+
68,TD,TD,Matt Morris,Cardinals,310,2004,4,6,Starter,Starter,,R,,2-Jan,6-Mar,13-Jul,14-16,17-,18-19,-,20-24,-,25+
69,TD,TD,Derrek Lee,Cubs,330,2004,11,18,1B+1,1B+1,,R,G,-,2-Jan,4-Mar,6-May,11-Jul,15-Dec,16-,17-18,-,19+
70,TD,TD,Miguel Tejada,Orioles,330,2004,10,14,SS+2,SS+2,,R,,-,1-,3-Feb,5-Apr,8-Jun,14-Sep,15-,16-18,-,19+
71,TD,TD,Ted Lilly,Blue Jays,340,2004,3,6,Starter,Starter,,L,,1-,5-Feb,10-Jun,16-Nov,17-,18-21,-,22-23,-,24+
72,TD,TD,David Wells,Padres,340,2004,4,7,Starter,Starter,,L,,1-,4-Feb,12-May,13-16,-,17-19,-,20-24,-,25+
